frame,num_dets,num_tracks,unmatched_dets,active_ids
1,7,0,7,
2,7,0,7,
3,8,0,8,
4,6,6,0,1;2;3;4;5;6
5,7,6,1,1;2;3;4;5;6
6,6,6,0,1;2;3;4;5;6
7,6,6,0,1;2;3;4;5;6
8,6,6,0,1;2;3;4;5;6
9,6,6,0,1;2;3;4;5;6
10,6,6,0,1;2;3;4;5;6
11,7,6,1,1;2;3;4;5;6
12,8,6,2,1;2;3;4;5;6
13,9,6,3,1;2;3;4;5;6
14,7,7,0,1;2;3;4;5;6;10
15,8,7,1,1;2;3;4;5;6;10
16,9,7,2,1;2;3;4;5;6;10
17,8,7,1,1;2;3;4;5;6;10
18,8,8,0,1;2;3;4;5;6;10;13
19,8,7,1,1;2;3;4;5;6;10
20,9,7,2,1;2;3;4;5;6;10
21,9,7,2,1;2;3;4;5;6;10
22,9,8,1,1;2;3;4;5;6;10;15
23,8,8,0,1;2;3;4;5;6;10;15
24,8,8,0,1;2;3;4;5;6;10;15
25,10,8,2,1;2;3;4;5;6;10;15
26,10,8,2,1;2;3;4;5;6;10;15
27,10,8,2,1;2;3;4;5;6;10;15
28,10,10,0,1;2;3;4;5;6;10;15;17;18
29,9,9,0,1;2;3;4;5;10;15;17;18
30,8,8,0,1;2;3;4;10;15;17;18
31,8,7,1,1;2;3;4;10;15;18
32,7,7,0,1;2;3;4;10;15;18
33,7,7,0,1;2;3;4;10;15;18
34,8,7,1,1;2;3;4;10;15;18
35,7,7,0,1;2;3;4;10;15;18
36,10,8,2,1;2;3;4;5;10;15;18
37,7,7,0,1;2;3;4;10;15;18
38,8,7,1,1;2;3;4;10;15;18
39,8,7,1,1;2;3;4;10;15;18
40,7,7,0,1;2;3;4;10;15;18
41,8,8,0,1;2;3;4;6;10;15;18
42,7,7,0,1;2;3;4;10;15;18
43,8,8,0,1;2;3;4;6;10;15;18
44,7,7,0,1;2;3;4;10;15;18
45,7,7,0,1;2;3;4;10;15;18
46,8,8,0,1;2;3;4;10;13;15;18
47,9,9,0,1;2;3;4;10;13;15;17;18
48,10,10,0,1;2;3;4;6;10;13;15;17;18
49,8,8,0,1;2;3;4;5;10;15;17
50,8,8,0,1;2;3;4;5;10;15;17
51,8,8,0,1;2;3;4;5;10;15;17
52,10,8,2,1;2;3;4;5;10;15;17
53,9,7,2,1;2;3;4;5;10;17
54,8,7,1,1;2;3;4;5;10;17
55,8,8,0,1;2;3;4;5;10;17;25
56,7,7,0,1;2;3;4;5;10;25
57,8,8,0,1;2;3;4;5;10;17;25
58,8,8,0,1;2;3;4;5;10;17;25
59,8,8,0,1;2;3;4;5;10;17;25
60,7,7,0,1;2;3;4;5;10;25
61,7,7,0,1;2;3;4;5;10;25
62,7,7,0,1;2;3;4;5;10;25
63,7,7,0,1;2;3;4;5;10;25
64,7,7,0,1;2;3;4;5;10;25
65,7,7,0,1;2;3;4;5;10;25
66,6,6,0,1;2;3;4;10;25
67,6,6,0,1;2;3;4;10;25
68,6,6,0,1;2;3;4;10;25
69,6,6,0,1;2;3;4;10;25
70,7,6,1,1;2;3;4;10;25
71,8,7,1,1;2;3;4;5;10;25
72,8,7,1,1;2;3;4;5;10;25
73,7,7,0,1;2;3;4;5;10;25
74,8,7,1,1;2;3;4;5;10;25
75,7,7,0,1;2;3;4;5;10;25
76,8,8,0,1;2;3;4;5;10;17;25
77,7,7,0,1;2;3;4;5;10;25
78,6,6,0,1;2;3;4;10;25
79,8,7,1,1;2;3;4;5;10;25
80,8,7,1,1;2;3;4;5;10;25
81,8,7,1,1;2;3;4;5;10;25
82,8,8,0,1;2;3;4;5;10;25;28
83,8,8,0,1;2;3;4;5;10;25;28
84,9,9,0,1;2;3;4;5;10;17;25;28
85,9,9,0,1;2;3;4;5;10;17;25;28
86,8,8,0,1;2;3;4;5;10;17;25
87,8,8,0,1;2;3;4;5;10;17;25
88,8,8,0,1;2;3;4;5;10;17;25
89,7,7,0,1;2;3;4;10;17;25
90,8,7,1,1;2;3;4;10;17;25
91,7,7,0,1;2;3;4;6;10;25
92,8,8,0,1;2;3;4;5;6;10;25
93,8,8,0,1;2;3;4;5;6;10;25
94,8,8,0,1;2;3;4;5;6;10;25
95,8,8,0,1;2;3;4;5;6;10;25
96,8,8,0,1;2;3;4;5;6;10;25
97,9,8,1,1;2;3;4;5;6;10;25
